Time,growth,Economy,Mood,Price,Finance
Mar-12,0.403856891,0.676893001,0.344777282,0.656807006,-0.527320552
Apr-12,1.405599019,0.548249163,-0.374329993,0.781254649,-0.41947096
May-12,1.280278129,0.486697332,1.454543095,1.1140361,-0.397186062
Jun-12,1.536980527,0.550815919,-1.244727853,1.452494973,-0.42126862
Jul-12,2.018767968,0.516356944,-0.748321141,1.769920865,-0.443820517
Aug-12,2.367852089,0.579975417,-1.238363431,1.958012623,-0.299320272
Sep-12,1.70207421,0.437005008,-0.683879775,2.042021217,-0.354985589
Oct-12,1.321236703,0.714678511,-1.187282495,1.735215605,-0.093730255
Nov-12,0.99716857,0.722331686,-2.612088258,1.526290306,0.059370123
Dec-12,1.931994492,-6.204039971,-2.872506485,1.282300175,0.059790988
Jan-13,0.494416172,-6.558083647,-1.797778407,1.258980892,-0.070861487
Feb-13,3.93082258,0.83028843,-1.599243333,0.839828507,-0.199683449
Mar-13,1.943542418,0.358871003,0.087749301,1.148537501,-0.010013172
Apr-13,1.021800278,0.572515968,1.339842233,1.477026987,0.081349539
May-13,0.678957115,0.574540243,0.338673117,1.593261085,0.237685478
Jun-13,0.807002573,0.581192588,1.730524552,1.465455902,0.596712956
Jul-13,-0.170757464,0.451485459,2.085139843,1.371688056,0.649296644
Aug-13,-0.831770747,0.631881857,1.284583843,1.188758656,0.689579005
Sep-13,-0.467377086,0.427539888,-1.100652737,1.041973828,0.730064238
Oct-13,-0.763270609,0.705346744,-0.379374554,1.089811843,0.728983813
Nov-13,-0.517102286,0.726478724,0.514717503,1.020830238,0.724653
Dec-13,0.517904933,-6.059276208,1.142316638,0.906721332,0.721955219
Jan-14,0.227942295,-2.182115112,2.237783453,1.090491972,0.829318302
Feb-14,-0.239489534,0.615786887,-0.000811225,1.365101787,0.880074408
Mar-14,0.752757252,0.548758519,0.307533396,1.388972618,0.975160696
Apr-14,0.673699563,0.513447776,-0.881975245,1.320091265,0.776849564
May-14,0.809863394,0.53824731,-2.295727911,1.095867976,0.703014067
Jun-14,0.462214212,0.556888016,-1.905396287,1.034964435,0.506383517
Jul-14,1.240415027,0.5061145,-1.852019838,0.892476731,0.65815818
Aug-14,2.545477383,0.629150682,-1.643482411,0.946165424,0.67111252
Sep-14,2.226759653,0.419464891,-0.066054144,1.296487786,0.690207863
Oct-14,2.629522434,0.602818953,-0.408911831,1.519068744,0.697695935
Nov-14,3.173102825,0.833221722,-1.059885669,1.7025822,0.656810813
Dec-14,3.460015353,-5.274502504,-2.21376612,1.982652265,0.577398436
Jan-15,3.727930251,-1.260391229,-3.103144904,2.418360138,0.703815936
Feb-15,3.885229506,0.574507402,-2.843456186,2.610412063,0.243472144
Mar-15,4.472591516,0.571225681,-2.984568933,2.46161505,0.246708785
Apr-15,4.628738213,0.521533847,-2.517450432,2.431576666,0.428588106
May-15,4.558911868,0.59101775,-1.611696918,2.443233769,0.278271723
Jun-15,4.187893322,0.461441527,-2.688049325,2.538571467,0.092693314
Jul-15,4.298956403,0.611266644,-3.064734612,2.735737042,-0.262835124
Aug-15,4.110626566,0.494692075,-2.760900564,2.922506228,-0.300520455
Sep-15,4.213858309,0.54184731,-3.248888746,2.926728293,-0.30624149
Oct-15,4.029092956,0.683943314,-3.30165563,2.933934639,-0.339778306
Nov-15,3.643991332,0.542968521,-2.957363924,2.973789144,-0.275384891
Dec-15,4.365301504,-3.018561531,-4.068189771,2.835990861,-0.189537326
Jan-16,3.542222777,1.02293769,-2.742041208,2.661294182,-0.245151235
Feb-16,3.925035038,0.826385204,-1.552012326,2.413627518,-0.024630574
Mar-16,2.488419991,0.332753159,-2.372327932,2.25097364,0.144585053
Apr-16,2.797037525,0.706229026,-2.554261902,1.820764112,0.330853134
May-16,2.620560468,0.449820513,-2.115768734,1.609279758,0.633388879
Jun-16,2.391485569,0.584954585,-1.759670312,1.506202322,0.776926807
Jul-16,1.910548503,0.540041286,-1.780059717,1.162335611,1.230196593
Aug-16,1.077673169,0.549910197,-1.778856974,0.881241788,1.216983752
Sep-16,0.650961367,0.508275363,-1.546379986,0.450962209,1.313747087
Oct-16,0.483154675,0.637816316,-1.678989714,-0.060159607,1.386745846
Nov-16,0.014282893,0.613270408,-1.924050515,-0.93049264,1.479912068
Dec-16,0.890926941,-2.051969585,-2.299890217,-1.921490134,1.449330724
Jan-17,-0.134178619,0.526416722,-1.689243089,-2.421257608,1.459744774
Feb-17,-0.937717121,0.564341461,-2.073996913,-2.697018688,1.628727
Mar-17,0.240758039,0.529446392,-1.957811221,-2.727742445,1.621568583
Apr-17,0.735351948,0.538375726,-1.861191343,-2.333380025,1.630501815
May-17,0.844612365,0.568607194,-2.419156781,-2.024021955,1.76259364
Jun-17,0.355494903,0.525110507,-1.978841541,-1.896178451,1.895772698
Jul-17,0.292559372,0.539943376,-1.53713115,-1.827998506,1.924038312
Aug-17,0.874941225,0.611680053,-1.630665996,-2.157974671,1.977707016
Sep-17,1.421465467,0.460798449,-3.140888555,-2.381269481,1.929561622
Oct-17,1.984660706,0.662899054,-1.782393963,-2.406097712,1.916191287
Nov-17,2.165840871,0.566421873,-1.819914241,-1.964850687,1.890242277
Dec-17,2.907936571,-2.184099222,-2.846088164,-1.682631715,2.010670358
Jan-18,1.979424157,-2.878826386,-2.487091636,-1.331686293,2.014557818
Feb-18,2.597972249,0.645307575,-1.750773767,-1.184349149,1.84748049
Mar-18,2.12635783,0.445510406,-1.187867426,-0.862298716,2.062707593
Apr-18,1.132259582,0.685992402,-1.720731341,-0.809984462,2.187941547
May-18,1.063581608,0.353561015,-1.721228997,-1.066437685,2.254092539
Jun-18,1.699038518,0.68133698,-1.574077334,-1.381185454,2.263432792
Jul-18,1.752261988,0.447846146,-1.399498727,-1.391987697,2.178652488
Aug-18,1.446025636,0.543648077,-1.647326501,-1.221283804,2.264796166
Sep-18,1.66476882,0.541508718,-0.65729271,-1.096885848,2.230461648
Oct-18,1.813992113,0.530122467,-0.851023579,-1.021102338,2.300547016
Nov-18,2.626565917,0.601304743,-0.859657547,-0.857884933,2.250554137
Dec-18,2.838819355,-2.00939614,-0.748707621,-0.228657292,2.189963177
Jan-19,2.583051073,-1.362990486,-1.027586457,0.166637541,2.106625519
Feb-19,3.012578746,0.60473365,-2.500050949,0.137957817,2.165926268
Mar-19,1.908174413,0.631185752,-2.522003928,0.088695495,2.135242527
Apr-19,3.052723192,0.314181648,-2.55260691,-0.20582911,2.083374542
May-19,3.232261541,0.721536235,-1.787359149,-0.106438907,2.101588951
Jun-19,2.981623734,0.443929845,-1.604996111,0.176808407,2.174897123
Jul-19,3.142878918,0.587480009,-2.24488334,0.286464347,2.330288194
Aug-19,3.365277038,0.53955598,-2.173629301,0.508922223,2.353783395
Sep-19,3.239439642,0.530592028,-1.958497607,0.686073151,2.367234337
Oct-19,3.428546637,0.490342395,-2.251711083,0.79802954,2.416020352
Nov-19,3.502509874,0.775838893,-4.184803895,0.732838009,2.48964944
Dec-19,4.074611326,-1.805705659,-4.175377787,0.317889088,2.37122396
Jan-20,7.073667534,2.681701098,-6.358214008,-0.275993806,2.125339199
Feb-20,9.706285852,0.619675951,7.963042874,-0.361244548,1.78458722
Mar-20,7.359721928,0.413535765,-4.561818218,0.379167517,1.792375087
Apr-20,4.877893946,0.574455829,-3.012853639,1.361712057,1.8826149
May-20,3.247402377,0.614320279,-3.681360292,1.833133817,2.035714161
Jun-20,2.207938581,0.45450317,-3.66237659,1.649402351,2.118698648
Jul-20,1.889574731,0.602988315,-3.166240704,1.379245391,2.152247426
Aug-20,1.499195602,0.531671004,-3.59567738,1.215349001,2.178560525
Sep-20,0.773280218,0.522534254,-3.691463342,1.321688639,2.145564681
Oct-20,-0.07285104,0.657207063,-4.106012632,1.448515133,2.254775916
Nov-20,-1.175322096,-0.336370322,-1.883361483,1.320507945,2.343783999
Dec-20,-2.443034366,1.924321252,-0.582876045,0.976310119,2.622610095
Jan-21,-6.516770562,-1.392453655,5.600719568,1.067865938,3.286723734
Feb-21,-12.10995696,0.184586138,-25.66524338,1.07945276,3.824776107
Mar-21,-7.154712131,0.897122473,1.4393695,-0.497268252,3.471232799
Apr-21,-3.098162657,0.392604644,0.260874861,-1.960666031,3.276844193
May-21,-1.186632768,0.595413607,0.087435793,-3.061091272,3.08590143
Jun-21,-0.140705798,0.463034954,1.888196556,-3.120282379,2.916826952
Jul-21,0.950310524,0.606542768,1.001979675,-3.273672642,2.896000084
Aug-21,2.573735459,0.495986876,5.446305402,-3.560170002,2.774683358
Sep-21,3.206117023,0.3977229,1.430216251,-3.934530143,2.729293169
Oct-21,3.720478096,0.882549911,1.448309826,-4.918768178,2.598577018
Nov-21,4.781593082,0.706559488,0.552816155,-4.926399143,2.517884797
Dec-21,5.561620787,-11.0965117,-1.476362891,-4.05980367,2.337348583
Jan-22,4.507760483,-4.091528689,-1.997087781,-3.424957592,2.246021691
Feb-22,3.435061199,0.959495223,-2.271786426,-3.127840466,2.460019608
Mar-22,5.38954472,0.159237465,4.255947637,-3.179673954,2.044296054
Apr-22,7.715351425,0.814844476,8.104732645,-3.370132671,1.65163117
May-22,6.14642078,0.247301655,2.763636394,-2.621702512,1.641859895
Jun-22,3.716586347,0.723684674,-4.81120681,-2.244859701,1.775808433
Jul-22,3.189089,0.356447415,-3.33530463,-1.443068753,1.688233678
Aug-22,2.368116191,0.717414544,-6.826578658,-0.6666259,1.698631531
Sep-22,2.812798571,0.36085772,-0.055138655,-0.211720998,1.563764401
Oct-22,3.445094495,0.71042491,1.181898539,0.534289292,1.501465527
Nov-22,4.67249998,0.508064995,2.725734397,0.525188982,1.21157363
Dec-22,4.832785061,-2.950340875,7.452636721,0.264747829,1.241738781
Jan-23,4.487045506,3.172813341,-6.922945728,0.331770921,1.126006274
Feb-23,0.811916563,0.564313538,-7.426283519,0.98107925,1.43439881
Mar-23,0.714729422,0.556325549,-12.26301157,1.456365923,1.43545374
Apr-23,-1.236879553,0.493918292,-16.08980944,2.209356331,1.678485577
May-23,-0.54067237,0.751058986,-7.400438199,2.606878587,1.783031669
Jun-23,-3.520050277,-12.65129029,4.401231256,3.273916254,1.753967923
